nombre;conteo
Manuel Popayán;135
Diego Alejandro Casas Jimenez;107
Alejandro Restrepo Echeverri;102
Hector David Martinez Argaez;100
Juan Miguel Saboya Soto;80
Dennis Rosero;79
Eduard Esteban García Domínguez;54
Gabriel Santiago Velez Gonzalez;50
Ramses Amaya;49
Haiver Lenin Reyes Garcia;49
Samuel Martinez Sanchez;48
Michael Andres Castillo Lemus;46
Jerónimo Espinosa;46
Juan Esteban Posada Ochoa;45
José David Castiblanco Marin;42
Julian Daza Grisales;42
David Rendón Martínez;40
Lorenzo Gonzalez;38
Shanty Rodríguez;35
Juan Sebastian Mendez Llanos;34
Juan José Ramírez Beyaert;33
Jhonier Andres Díaz Brito;30
Angel David Alvarado Sandoval;29
Diego Alejandro Camelo López;27
Daniel Cano Salgado;27
Juan Camilo González Barragán;27
Rafael Ricardo Gómez Algarra;26
Carlos Miguel Pérez;26
Julian Alejandro Forero Gonzalez;26
Juan Sebastián Lozada Rodríguez;25
Oscar Nieto;24
David Stiven Benitez Guerra;24
Isabela Quesada Rodríguez;23
Andres Alfaro;23
Jhon Edinson Arias Parra;22
Dereck Samuel Marin Suarez;20
Santiago Duque;18
Camilo Guzmán;17
Camilo Quintero;17
José Ángel Salinas Salinas;17
Juan David Martinez Riveros;16
Andrés Felipe Rubiano Forero;15
Juan David Carmona Vásquez;15
Cristhian Damián Fernández Pineda;15
Jose Daniel Cobo Torres;15
Sergio Dorado;15
Nicolás David Lozada Rodríguez;15
Samuel Alzate Muñoz;14
Brayan Alexander Sandoval Camacho;14
Juan Pablo Erazo Mazuera;14
