nombre;competencia;conteo
Diego Alejandro Casas Jimenez;Málaga Al Cubo 2024;10
Oscar Nieto;Nacionales El Salvador 2024;10
Julian Alejandro Forero Gonzalez;Bogotá No Duerme 2024;10
Hector David Martinez Argaez;The New School Medellín 2024;9
Samuel Martinez Sanchez;Prenacionales Colombia 2024;8
Michael Andres Castillo Lemus;NxN Cali 2024;8
Jerónimo Espinosa;Málaga Al Cubo 2024;7
Alejandro Restrepo Echeverri;Copa Beillín 2024;7
Juan Esteban Posada Ochoa;The New School Medellín 2024;7
Gabriel Santiago Velez Gonzalez;Encanto Soacha II 2024;7
José David Castiblanco Marin;San Juan Geek Fest Neiva VI 2024;7
Ramses Amaya;Speedcubing Bogotá 2024;6
Manuel Popayán;Prenacionales Colombia 2024;6
Juan Miguel Saboya Soto;Ritmo Boyacá Innovo Duitama 2024;6
Julian Daza Grisales;Poliedros Aves María 2024;6
Camilo Quintero;Regionales Santander 2024;6
Brayan Alexander Sandoval Camacho;Regionales Santander 2024;6
José Ángel Salinas Salinas;La Sierra Cundinamarca 2024;6
Daniel Cano Salgado;Bogotá No Duerme 2024;6
Juan José Ramírez Beyaert;Terraza 360 Xmas 2024;6
David Rendón Martínez;Ibagué Mercacentro 10 2024;5
Axel Matias López Gutiérrez;Arauquita Cubing 2024;5
Andrés Felipe Rubiano Forero;Encanto Soacha 2024;5
Jhon Edinson Arias Parra;Avenida Chile X 2024;5
Carlos Miguel Pérez;Prenacionales Colombia 2024;5
Juan Sebastian Mendez Llanos;Monterrey Bogotá IX 2024;5
Jhonier Andres Díaz Brito;NxN Cali 2024;5
Isabela Quesada Rodríguez; Wembley Quimbaya 2024;5
Rey Danilo Florez;Speedcubing La Guajira 2024;5
Luis Mateo Peñuela Jara;Vibra Social Girardot Cundinamarca 2024;5
Andres Alfaro;Popayán al Cubo 2024;5
Omar Nehimar Villarreal Mendoza;San Gil Plaza 2024;5
Jose Carlos García Vélez;Colombian Nationals Avenida Chile 2024;5
Stiven Ortiz;Pocos Cupos Bogotá IV 2024;4
Angel David Alvarado Sandoval;Please Be Solved Aventura 2024;4
Juan Sebastián Lozada Rodríguez;Terraza360 2024;4
Dennis Rosero;San Juan V 2024;4
Ricardo Alberto Hurtado Torres;San Juan V 2024;4
Camilo Guzmán;Colegio Santa Ana al Cubo 2024;4
Eduard Esteban García Domínguez;Pocos Cupos Bogotá IX 2024;4
Duvan Montoya Bedoya;Unicentro Armenia II 2024;4
Martin Ayala Valderrama;Motavita Boyacá 2024;4
Haiver Lenin Reyes Garcia;Speedcubing La Guajira 2024;4
Jose Daniel Cobo Torres;Galerías Bogotá 2024;4
Juan Matias Solarte Villacis;Popayán al Cubo 2024;4
Cristian Castellanos Guevara;Regionales Santander 2024;4
Gabriel Enrique Amaya Puello;Regionales Santander 2024;4
Matias Rafael Meza Rodriguez;Cubomanía Monteria 2024;4
Samuel Elías Hernández Salamanca;Yopal Open 2024;4
Jeremias Hidalgo Viveros;Único Pasto 2024;4
