nombre;conteo
Juan Miguel Saboya Soto;53
Manuel Popayán;49
Hector David Martinez Argaez;47
Alejandro Restrepo Echeverri;40
Gabriel Santiago Velez Gonzalez;34
Diego Alejandro Casas Jimenez;30
Ramses Amaya;24
Michael Andres Castillo Lemus;24
David Rendón Martínez;20
Jerónimo Espinosa;18
Jhonier Andres Díaz Brito;16
Diego Alejandro Camelo López;15
Julian Alejandro Forero Gonzalez;15
Dennis Rosero;15
Juan Esteban Posada Ochoa;14
Shanty Rodríguez;14
Lorenzo Gonzalez;13
Juan Sebastián Lozada Rodríguez;13
Samuel Martinez Sanchez;12
Angel David Alvarado Sandoval;12
Juan David Carmona Vásquez;11
Juan Sebastian Mendez Llanos;11
Julian Daza Grisales;10
Carlos Miguel Pérez;9
Juan José Ramírez Beyaert;9
Nicolás David Lozada Rodríguez;8
Andrés Felipe Rubiano Forero;8
Jose Carlos García Vélez;8
Andres Alfaro;8
Samuel Alzate Muñoz;7
Haiver Lenin Reyes Garcia;7
Jose Daniel Cobo Torres;7
Jefferson Durango;6
Brayan Alexander Sandoval Camacho;6
Rey Danilo Florez;6
Juan Matias Solarte Villacis;6
Juan Camilo González Barragán;6
Isabela Quesada Rodríguez;5
Fabián Andrés Mina Sandoval;5
José David Castiblanco Marin;5
Mauricio Arias;5
Juan Pablo Erazo Mazuera;5
José Ángel Salinas Salinas;5
Juan Manuel Rueda Jaramillo;5
Camilo Quintero;5
Jacob Goossens Celis;5
Gabriel Enrique Amaya Puello;4
Stiven Ortiz;4
Daniel Cano Salgado;4
Manuel Francisco Beltrán;4
