nombre;competencia;conteo
Diego Alejandro Casas Jimenez;Málaga Al Cubo 2024;7
Gabriel Santiago Velez Gonzalez;Encanto Soacha II 2024;7
Julian Alejandro Forero Gonzalez;Bogotá No Duerme 2024;7
Hector David Martinez Argaez;The New School Medellín 2024;6
Alejandro Restrepo Echeverri;Wembley Quimbaya II 2024;6
Juan Miguel Saboya Soto;Ritmo Boyacá Innovo Duitama 2024;5
Rey Danilo Florez;Speedcubing La Guajira 2024;5
Brayan Alexander Sandoval Camacho;Regionales Santander 2024;5
Manuel Popayán;Meridiano Mosquera 2024;5
David Rendón Martínez;San Juan V 2024;4
Ramses Amaya;Speedcubing Bogotá 2024;4
Jose Carlos García Vélez;Salamandra Cartagena 2024;4
Juan Esteban Posada Ochoa;The New School Medellín 2024;4
Michael Andres Castillo Lemus;NxN Cali 2024;4
Haiver Lenin Reyes Garcia;San Gil Plaza 2024;4
José Ángel Salinas Salinas;La Sierra Cundinamarca 2024;4
Andres Alfaro;Único Pasto 2024;4
Angel David Alvarado Sandoval;Please Be Solved Aventura 2024;3
Juan Sebastián Lozada Rodríguez;Terraza360 2024;3
Lorenzo Gonzalez;Innova Schools Bogotá 2024;3
Andrés Felipe Rubiano Forero;Encanto Soacha 2024;3
Jhonier Andres Díaz Brito;Unicentro Pereira 2024;3
Juan Sebastian Mendez Llanos;Monterrey Bogotá VIII 2024;3
Carlos Miguel Pérez;Prenacionales Colombia 2024;3
Samuel Martinez Sanchez;NxN Cali 2024;3
Jerónimo Espinosa;Panama Nationals 2024;3
Sergio Andres Guillen Ibarra;Cubomanía Monteria 2024;3
Stiven Ortiz;Pocos Cupos Bogotá IV 2024;2
Juan David Carmona Vásquez;Pocos Cupos Rionegro 2024;2
Luis Mateo Peñuela Jara;Ibagué Mercacentro 10 2024;2
Nicolás David Lozada Rodríguez;Acrópolis Bucaramanga 2024;2
Esneider Giraldo Restrepo;Los Árboles Eventos 2024;2
Samuel Alzate Muñoz;Aves María Nuevos Campeones 2024;2
Dennis Rosero;Innova Schools Mosquera 2024;2
Julian Daza Grisales;Popayán 2024;2
Jefferson Durango;Side Events Aves María 2024;2
Juan Matias Solarte Villacis;Libre Cube Challenge 2024;2
Fabián Andrés Mina Sandoval;Speedcubing Yumbo 2024;2
Jose Daniel Cobo Torres;Clock Masters Bogotá 2024;2
Shanty Rodríguez;Monterrey Bogotá IX 2024;2
Juan Pablo Erazo Mazuera; Wembley Quimbaya 2024;2
Isabela Quesada Rodríguez; Wembley Quimbaya 2024;2
Juan José Ramírez Beyaert;Delacuesta Returns 2024;2
Daniel Cano Salgado;Edén Bogotá 2024;2
Elian Stiven Posso Saldarriaga;Unicentro Armenia II 2024;2
Oliver Jared Zubieta Cuervo;Poliedros Aves María 2024;2
Manuel Francisco Beltrán;Santa Coloma Bogotá II 2024;2
Gabriel Enrique Amaya Puello;Regionales Santander 2024;2
Camilo Quintero;Regionales Santander 2024;2
Cristian Castellanos Guevara;Regionales Santander 2024;2
