nombre;oros;platas;bronces;puntos;comps;ppt
Gabriel Santiago Velez Gonzalez;34;10;6;128.0;13;9.8462
Juan Miguel Saboya Soto;53;18;9;204.0;23;8.8696
Julian Alejandro Forero Gonzalez;15;6;5;62.0;7;8.8571
Samuel Martinez Sanchez;12;19;16;90.0;12;7.5
David Rendón Martínez;20;14;6;94.0;13;7.2308
Alejandro Restrepo Echeverri;40;37;21;215.0;30;7.1667
Hector David Martinez Argaez;47;28;25;222.0;32;6.9375
Michael Andres Castillo Lemus;24;18;4;112.0;17;6.5882
Juan José Ramírez Beyaert;9;14;10;65.0;10;6.5
Jhonier Andres Díaz Brito;16;6;8;68.0;11;6.1818
Ramses Amaya;23;12;10;103.0;17;6.0588
José Ángel Salinas Salinas;5;8;4;35.0;6;5.8333
Jose Daniel Cobo Torres;7;5;3;34.0;6;5.6667
Manuel Popayán;49;44;42;277.0;49;5.6531
Andres Alfaro;8;5;10;44.0;8;5.5
Juan Sebastián Lozada Rodríguez;13;9;3;60.0;11;5.4545
Oscar Nieto;2;11;10;38.0;7;5.4286
Juan Esteban Posada Ochoa;14;17;14;90.0;18;5.0
Andrés Felipe Rubiano Forero;8;4;3;35.0;7;5.0
Juan Matias Solarte Villacis;6;1;5;25.0;5;5.0
Julian Daza Grisales;10;17;14;78.0;18;4.3333
Juan David Carmona Vásquez;11;3;1;40.0;10;4.0
Sergio Andres Guillen Ibarra;4;5;2;24.0;6;4.0
Daniel Cano Salgado;4;8;15;43.0;11;3.9091
Jerónimo Espinosa;17;9;13;82.0;22;3.7273
Carlos Miguel Pérez;9;10;5;52.0;14;3.7143
Axel Matias López Gutiérrez;2;3;5;17.0;5;3.4
Fabián Andrés Mina Sandoval;5;1;0;17.0;5;3.4
Stiven Ortiz;4;3;5;23.0;7;3.2857
Brayan Alexander Sandoval Camacho;5;3;5;26.0;8;3.25
Diego Alejandro Casas Jimenez;30;35;39;199.0;63;3.1587
Lorenzo Gonzalez;13;13;12;77.0;25;3.08
Isabela Quesada Rodríguez;5;10;8;43.0;14;3.0714
Samuel Alzate Muñoz;7;2;5;30.0;10;3.0
Juan Sebastian Mendez Llanos;11;14;9;70.0;24;2.9167
Diego Alejandro Camelo López;15;1;11;58.0;20;2.9
Angel David Alvarado Sandoval;11;9;3;54.0;19;2.8421
Juan Pablo Erazo Mazuera;5;4;5;28.0;10;2.8
Nicolás David Lozada Rodríguez;8;1;6;32.0;12;2.6667
Elian Stiven Posso Saldarriaga;2;4;4;18.0;7;2.5714
Jefferson Durango;6;0;1;19.0;8;2.375
Luis Angel Contreras Ospina;1;3;5;14.0;6;2.3333
Oliver Jared Zubieta Cuervo;3;7;2;25.0;11;2.2727
Juan Manuel Rueda Jaramillo;5;1;1;18.0;8;2.25
Haiver Lenin Reyes Garcia;7;23;19;86.0;39;2.2051
Juan David Hernández Valderrama;2;8;1;23.0;11;2.0909
David Felipe Gómez Prieto;3;1;1;12.0;6;2.0
Shemuel Cuellar Ramirez;4;2;3;19.0;10;1.9
Santiago Duque;3;8;7;32.0;17;1.8824
Yerik Samuel Bocanegra Osorio;3;2;2;15.0;8;1.875
