nombre;conteo
Eduard Esteban García Domínguez;84
Dennis Rosero;84
Diego Alejandro Casas Jimenez;63
Francia Perez;54
Manuel Popayán;49
Shanty Rodríguez;46
Catalina Herrera López;46
Juan Camilo González Barragán;42
Haiver Lenin Reyes Garcia;39
Rafael Ricardo Gómez Algarra;39
David Stiven Benitez Guerra;38
José David Castiblanco Marin;38
Juan David Martinez Riveros;35
Heder Andrés Ávila González;35
Cristhian Damián Fernández Pineda;34
Hector David Martinez Argaez;32
Jacob Goossens Celis;32
Klaus Ramos;30
Alejandro Restrepo Echeverri;30
Thomas Cabezas Casallas;29
Jeshua Emmanuel Avendaño;28
Matteo Rodríguez Colorado;26
Sergio Dorado;25
Lorenzo Gonzalez;25
Juan Sebastian Mendez Llanos;24
Juan Miguel Saboya Soto;23
Luigi Segura;23
Martín González Gómez;22
Jerónimo Espinosa;22
Diego Hernandez Mondul;21
Diego Alejandro Camelo López;20
Dereck Samuel Marin Suarez;20
Jhon Edinson Arias Parra;19
Angel David Alvarado Sandoval;19
Juan Esteban Posada Ochoa;18
Julian Daza Grisales;18
Sergio Camilo Estupiñán Gutiérrez;18
Juan David Blanco Sanabria;18
Santiago Duque;17
Alisson Gonzalez;17
Michael Andres Castillo Lemus;17
Ramses Amaya;17
Manuel Francisco Beltrán;16
Jhon Edison Arcila Quintero;16
Lizeth Stefania Herrera Rodriguez;16
Mauricio Arias;16
Samuel Fonseca Arias;16
Isaac Sebastian Escando Restrepo;15
Joel Santiago Rodriguez Rodriguez;15
Camilo Quintero;15
