nombre;conteo
Diego Alejandro Casas Jimenez;26
Haiver Lenin Reyes Garcia;20
Eduard Esteban García Domínguez;18
Dennis Rosero;18
Manuel Popayán;13
Alejandro Restrepo Echeverri;11
Francia Perez;11
Catalina Herrera López;9
José David Castiblanco Marin;9
Jhon Edison Arcila Quintero;9
David Stiven Benitez Guerra;9
Jhonier Andres Díaz Brito;8
Samuel German Giraldo Quintero;8
Andres Felipe Rodríguez Londoño;8
Angel David Alvarado Sandoval;7
Ramses Amaya;7
Jerónimo Espinosa;7
Valentina Sánchez Muñoz;7
Oliver Jared Zubieta Cuervo;7
Duvan Montoya Bedoya;7
Juan Camilo González Barragán;7
Luis Carlos Gomez Velez;7
Sergio Camilo Estupiñán Gutiérrez;7
José Leonardo Chaparro Prieto;7
Samuel Martinez Sanchez;7
Santiago Peña Urrego;6
Benjamín Bermúdez Vélez;6
Juan David Blanco Sanabria;6
Rafael Ricardo Gómez Algarra;6
Alejandro Cano Vidal;6
Lorenzo Gonzalez;6
Luigi Segura;6
Sebastian Cano Vidal;6
Juan David Carmona Vásquez;6
Andres Alfaro;6
Santiago Duque;6
Juan Pablo Erazo Mazuera;6
Joseth Camilo Sanchez Leal;6
Nicolás Concha Acosta;6
Santiago A. Ospina Botero;6
Ricardo Alberto Hurtado Torres;6
Julian Daza Grisales;6
Oscar Nieto;6
Thomas Cabezas Casallas;6
Samuel Flórez Carvajal;5
Jerónimo Ortíz Tovar;5
Victoria Alejandra Zambrano Buitrago;5
Omar Nehimar Villarreal Mendoza;5
Axel Juan Pablo Moreno Rodriguez;5
Juan Felipe Gómez López;5
