wca_id;nombre;torneo;ciudad;avg
2024GUEV01;Cristian Castellanos Guevara;Medellin Explora 2024;Medellín, Antioquia;988
2024GUAR01;Diego Andrés Torres Guarín;Longjum'Open 2024;Longjumeau;1030
2024ORTI07;Juan Daniel Tangarife Ortiz;Libre Cube Challenge 2024;Pereira;1128
2024CHAM17;Ivan Dario Mipaz Chamorro;Popayán al Cubo 2024;Popayán, Cauca;1146
2024RUIZ22;Daniel Sanín Ruíz;José Félix de Restrepo Vélez 2024;Sabaneta, Antioquia;1170
2024VESG01;Axel Morales Vesga;Nada Que Ver Bucaramanga 2024;Bucaramanga, Santander;1175
2024REYE24;Luis Alejandro Silva Reyes;Yopal Open 2024;Yopal, Casanare;1227
2024MART25;Miguel Angel Echeverri Martinez;Poliedros Aves María 2024;Sabaneta, Antioquia;1228
2024SOLE02;Jhonatan Alejandro Alvarez Soler;Yopal Open 2024;Yopal, Casanare;1230
2024CHIP03;Cristian Santiago Chipatecua;Villa del Rio al Cubo Bogotá 2024;Bogotá;1246
