wca_id;nombre;torneo;ciudad;pais;avg
2024GUAR01;Diego Andrés Torres Guarín;Longjum'Open 2024;Longjumeau;France;1030
2024CHAM17;Ivan Dario Mipaz Chamorro;Popayán al Cubo 2024;Popayán, Cauca;Colombia;1146
2024REYE24;Luis Alejandro Silva Reyes;Yopal Open 2024;Yopal, Casanare;Colombia;1227
2024SOLE02;Jhonatan Alejandro Alvarez Soler;Yopal Open 2024;Yopal, Casanare;Colombia;1230
2024SERN03;Jesús Serna;Trebolis El Porvenir Bogotá 2024;Bogotá;Colombia;1308
2024ESCO02;David Fernando González Escobar;Popayán 2024;Popayán, Cauca;Colombia;1313
2024ORTI07;Juan Daniel Tangarife Ortiz;Unicentro Pereira 2024;Pereira;Colombia;1313
2024GARC31;Laura Esthefany Ramírez García;Centro Suba Bogotá 2024;Bogotá D.C.;Colombia;1321
2024MUNO09;Pablo Esteban Sotelo Muñoz;Popayán 2024;Popayán, Cauca;Colombia;1321
2024AREV03;Thomas Arevalo;Miami Spring 2024;Miami, Florida;USA;1343
