nombre;conteo
Bernardo Torres;65
Rafael Antonio Sanchez;22
Ricardo Zapata Cruz;19
Louis Rodriguez;18
Leonardo Neptalí Alicastro Palma;15
Oscar Andelfo Dúran Caicedo;13
Felipe Santamaría Ruiz;11
Leandro Fabian Paredes Gomez;9
Cristofer Azuaje;8
Gustavo Adolfo Ortega Gomez;6
Fabián Villavicencio;5
Samuel de Jesus Parra Rojas;4
Miguel González;4
Rafael Alvarez;4
Miguel Vidal;4
Sebastián Andrés González Coronel;4
Victor Salas;3
Santiago David Paz Gutierrez;3
Enrymar Cisneros;3
Daniel Eduardo Forero Perez;3
Richard Alejandro Sánchez Andueza;3
Xabier Monsalve;3
Rafael Rojas;3
Allegra Lozada;2
Santiago Enrique Gomez Figueroa;2
Josias David Torres Vera;2
Oswald Jabid Obando Correa;2
Yosvaldo José Maizo;2
Edgar Jose Briceño Mendez;1
Ángel Leonardo Baez Guillén;1
Benjamín Leonardo Solórzano Guerra;1
Carlos Gonzalez;1
Andrés Daniel Azuaje Camacho;1
José Ángel Luyo Santana;1
David Simmons;1
Victor Wu;1
Santiago David Laviera Vera;1
