nombre;competencia;conteo
Bernardo Torres;Villapinzón al Cubo Open II 2024;4
Oscar Andelfo Dúran Caicedo;15 Años San Silvestre 2024;4
Bernardo Torres;Micentro Funza 2024;3
Louis Rodriguez;Ciudad Crepuscular Lara 2024;3
Bernardo Torres;Trebolis El Porvenir Bogotá 2024;3
Louis Rodriguez;Sambil Caracas 2024;3
Bernardo Torres;Ibagué 2024;3
Bernardo Torres;Cubing Millennium Caracas 2024;3
Oscar Andelfo Dúran Caicedo;Day for PRs Tachira 2024;3
Bernardo Torres;Nemocón Cundinamarca 2024;3
Louis Rodriguez;Los Aviadores Aragua 2024;2
Louis Rodriguez;Cubing and Books Caracas 2024;2
Bernardo Torres;Sambil Barquisimeto 2024;2
Bernardo Torres;Vibra Social Girardot Cundinamarca 2024;2
Louis Rodriguez;Sambil Barquisimeto 2024;2
Ricardo Zapata Cruz;Cali Vuelve 2024;2
Bernardo Torres;Centro Comercial Panamá Bogotá II 2024;2
Rafael Antonio Sanchez;Cubing Millennium Caracas 2024;2
Rafael Antonio Sanchez;Sambil San Cristobal 2024;2
Ricardo Zapata Cruz;Prenacionales Colombia 2024;2
Bernardo Torres;Na'Guara Metropolis Lara 2024;2
Bernardo Torres;Ciudad Crepuscular Lara 2024;1
Miguel Vidal;Sambil Valencia 2024;1
Louis Rodriguez;Na'Guara Metropolis Lara 2024;1
Cristofer Azuaje;Los Aviadores Aragua 2024;1
Enrymar Cisneros;Sambil Valencia 2024;1
Cristofer Azuaje;Na'Guara Metropolis Lara 2024;1
Miguel Vidal;Los Aviadores Aragua 2024;1
José Ángel Luyo Santana;Sambil Valencia 2024;1
Felipe Santamaría Ruiz;Skewb Madness Uruguay 2024;1
Bernardo Torres;Galerías Bogotá 2024;1
Rafael Antonio Sanchez;Los Aviadores Aragua 2024;1
Leandro Fabian Paredes Gomez;Cubing and Books Caracas 2024;1
Cristofer Azuaje;Cubing and Books Caracas 2024;1
Richard Alejandro Sánchez Andueza;Terraza360 2024;1
Miguel Vidal;Sambil Caracas 2024;1
Felipe Santamaría Ruiz;Montevideo en Llamas 2024;1
Richard Alejandro Sánchez Andueza;Centro Brazuca al Cubo 2024;1
Felipe Santamaría Ruiz;10th Anniversary Cervantes 2024;1
Oscar Andelfo Dúran Caicedo;Unicentro Cúcuta 2024;1
Gustavo Adolfo Ortega Gomez;San Lorenzo Off 2024;1
Daniel Eduardo Forero Perez;Unicentro Cúcuta 2024;1
Victor Salas;Day for PRs Tachira 2024;1
Oscar Andelfo Dúran Caicedo;Sambil San Cristobal 2024;1
Bernardo Torres;Cubing in Unicentro Maracay 2024;1
Samuel de Jesus Parra Rojas;Unicentro Cúcuta 2024;1
Miguel González;Cubing in Unicentro Maracay 2024;1
Ricardo Zapata Cruz;Yumbo Univalle 2024;1
Samuel de Jesus Parra Rojas;Sambil San Cristobal 2024;1
Rafael Antonio Sanchez;Cubing in Unicentro Maracay 2024;1
