nombre;conteo
Bernardo Torres;18
Enrymar Cisneros;11
Leonardo Neptalí Alicastro Palma;10
Yosvaldo José Maizo;10
Felipe Santamaría Ruiz;10
Rafael Antonio Sanchez;10
Xabier Monsalve;9
Fabián Villavicencio;8
Luis Alejandro Bello Guilarte;8
Jesus Enrique Nava Lameda;7
Lucas Bohorquez Bohn;7
Cristofer Azuaje;7
Louis Rodriguez;7
Diego Sebastian Medina Ramos;6
Luis Felipe Palacios Peña;6
Luis David Herrera Moncada;5
Miguel González;5
Amarantha Valentina Rodríguez Peña;5
Santiago Enrique Gomez Figueroa;5
Rafael Rojas;5
Christopher Dael Duarte Ramirez;5
Rafael Alvarez;5
Alfonso Jose Torres Alvarez;5
Benjamín Leonardo Solórzano Guerra;5
Luis Carlos Salazar;5
Oscar Andelfo Dúran Caicedo;4
Ricardo Zapata Cruz;4
Jesús Saul;4
Eduardo Alfonso Gutiérrez Golindano;4
Abraham Enrique Diaz;4
Miguel Vidal;4
Alejandro Navas;4
Santiago David Laviera Vera;4
Leandro Fabian Paredes Gomez;4
Victor Calderon;4
Emanuel David Rojas Bocaul;4
Leonardo Javier Henriquez Mata;3
Angel Eduardo Rivas Partidas;3
Santiago David Paz Gutierrez;3
Iván Zapata;3
Martín Santamaría Ruiz;3
Victoria Espinosa;3
Rafael Arturo Lucena Vivas;3
José Ángel Luyo Santana;3
Gustavo Adolfo Ortega Gomez;3
Daniel Eduardo Forero Perez;3
Josias David Torres Vera;3
Damián David González Ortiz;3
Fabio Enrique De Girolamo Morales;3
Samuel Godoy;3
