nombre;conteo
Bernardo Torres;9
Leonardo Neptalí Alicastro Palma;8
Luis Alejandro Bello Guilarte;7
Enrymar Cisneros;7
Jesus Enrique Nava Lameda;6
Rafael Antonio Sanchez;5
Lucas Bohorquez Bohn;5
Yosvaldo José Maizo;5
Victor Calderon;4
Emanuel David Rojas Bocaul;4
Oscar Andelfo Dúran Caicedo;4
Fabián Villavicencio;4
Luis David Herrera Moncada;4
Santiago Enrique Gomez Figueroa;4
Leonardo David Sandrea Gonzalez;3
Richard Alejandro Sánchez Andueza;3
Cristofer Azuaje;3
Louis Rodriguez;3
Samuel de Jesus Parra Rojas;3
Victoria Espinosa;3
Gustavo Adolfo Ortega Gomez;3
Daniel Eduardo Forero Perez;3
Josias David Torres Vera;3
Ricardo Zapata Cruz;3
Eduardo Alfonso Gutiérrez Golindano;3
Rafael Rojas;3
Abraham Enrique Diaz;3
Miguel Vidal;3
Rafael Alvarez;3
Daniel Enrique Martinez Delgado;3
Xabier Monsalve;3
Elias Tomas Campo Pina;2
Felipe Santamaría Ruiz;2
Josmer Alejandro Ávila Mercado;2
Oscar Alberto Ceballos Contreras;2
Benjamín Leonardo Solórzano Guerra;2
Eduardo Enrique Santamaría Rivas;2
Luis Carlos Salazar;2
Rainer Angel Villasmil Requiz;2
Arthur Faneite Heredia;2
Sebastián Andrés González Coronel;2
Esteban Alberto Porras Perez;2
Jose Miguel Mejías Durán;2
Arcángel Dariel Mora Chavéz;2
Maximiliano Vicci;2
Ángel Leonardo Baez Guillén;2
Leonardo Javier Henriquez Mata;2
Mathias Santiago Torres Pirona;2
Angel Eduardo Rivas Partidas;2
Leandro Julian Marchan Castro;2
