nombre;conteo
Catalina Herrera López;176
Francia Perez;108
Alisson Gonzalez;46
Natalia Mendoza;42
Luna Gaitán;39
Victoria Alejandra Zambrano Buitrago;36
Isabela Quesada Rodríguez;33
Juliana Gonzalez Silva;33
Lizeth Stefania Herrera Rodriguez;25
Valentina Sánchez Muñoz;25
María José Soler Arce;24
Natalia Andrea Cruz Ochoa;24
Maria Alejandra Torres Martinez;20
Annie Jeribeth Yate Alvarez;19
Ginneidy Camila León Zabala;19
Thais Tamaio;17
Laura Paola Gamboa Guzman;16
Mariana Henao Ortiz;16
María José Martínez León;15
Luna Sofía Bernal Sanguino;14
Sofía Lopera Mejia;14
Sophya Sarmiento Arciniegas;14
Diana Milena Pineda;13
LaMar Peña Parra;11
Sara Lucia Florez Tibacan;10
Valeria Coppola Londoño;10
Johana Suarez;9
Paula Sofía Chamat Narváez;9
Salome Rodriguez Betancourt;9
Andrea Gutiérrez Linares;8
María Claudia Pizarro Esguerra;8
María Cristina Arciniegas Sandoval;8
Laura Esthefany Ramírez García;7
Leidy Catherinne Sánchez;7
Mariana Jimenez Torres;7
Nancy Castañeda;7
Carolina Salazar;6
Carolina Velasco Benitez;6
Jessica Lizeth Burbano Castillo;6
Laura Camila Beltrán Hernández;6
Mariana Giraldo Quintero;6
Ana Maria Medina;5
Ángela Gutierrez;5
Danna Sophia Quimbay Arias;5
Emily Mariann Ferrer Muñoz;5
Johana Andrea Torres Florez;5
Sara Benavides Mora;5
Ana Sofia Moreno Santamaria;4
Angy Tatiana Rivera Sarabia;4
Carolina Covaleda;4
