nombre;conteo
Catalina Herrera López;39
Francia Perez;22
Alisson Gonzalez;13
Natalia Mendoza;13
Natalia Andrea Cruz Ochoa;10
Juliana Gonzalez Silva;9
Valentina Sánchez Muñoz;9
Victoria Alejandra Zambrano Buitrago;9
Isabela Quesada Rodríguez;8
Maria Alejandra Torres Martinez;7
María José Martínez León;7
María Claudia Pizarro Esguerra;5
Mariana Henao Ortiz;5
Sara Benavides Mora;5
Sofía Lopera Mejia;5
Ana Maria Medina;4
Angy Tatiana Rivera Sarabia;4
Annie Jeribeth Yate Alvarez;4
Carolina Velasco Benitez;4
Laura Paola Gamboa Guzman;4
Mariana Giraldo Quintero;4
Sara Lucia Florez Tibacan;4
Sophya Sarmiento Arciniegas;4
Valeria Coppola Londoño;4
Alejandra Angarita Quiroz;3
Daniela Henao Vinasco;3
Gabriela Balanta Pantoja;3
Ginneidy Camila León Zabala;3
Jessica Lizeth Burbano Castillo;3
Leydi Bibiana Maldonado Pinzón;3
Manuela Jaramillo Restrepo;3
Maria Alejandra Suarez Rodríguez;3
María Cristina Arciniegas Sandoval;3
Mariana Guerrero Arias;3
Mariana Jimenez Torres;3
Paula Sofía Chamat Narváez;3
Salomé Aristizábal Medina;3
Sara Restrepo Echeverri;3
Thais Tamaio;3
Valerie Aristizábal Medina;3
Adriana Gordillo Barahona;2
Andrea Gutiérrez Linares;2
Ángela Gutierrez;2
Angela Preciado;2
Angie Paola Pérez Caraballo;2
Antonia Goossens Celis;2
Camila Rojas Quezada;2
Carolina Salazar;2
Daniela Sarai Cubides Delgadillo;2
Diana Milena Pineda;2
